,radius(m),density(kg/m^3),radius(km),g,E
37,475742.0,13039.22,475.742,9.077457381886674,56310233144.61761
38,488600.0,13036.52,488.6,9.057658766284728,57694058843.80085
39,501458.0,13033.75,501.458,9.037860150682782,59070353201.280266
40,514316.0,13030.9,514.316,9.018061535080836,60439051694.29339
41,527174.0,13027.99,527.174,8.998262919478888,61800228102.74793
42,540032.0,13025.0,540.032,8.978464303876942,63153770905.240326
43,552889.0,13021.94,552.889,8.95866722806467,64499603425.264175
44,565747.0,13018.81,565.747,8.938868612462722,65837920079.31215
45,578605.0,13015.6,578.605,8.919069996860776,67168546090.46751
46,591463.0,13012.33,591.463,8.89927138125883,68491566798.26023
47,604321.0,13008.98,604.321,8.879472765656883,69806861341.50264
48,617179.0,13005.56,617.179,8.859674150054937,71114464926.20517
49,630037.0,13002.07,630.037,8.839875534452991,72414361366.03261
50,642895.0,12998.5,642.895,8.820076918851044,73706477984.65552
51,655753.0,12994.87,655.753,8.800278303249097,74990911426.82886
52,668611.0,12991.16,668.611,8.780479687647151,76267531745.99562
53,681468.0,12987.38,681.468,8.760682611834877,77536280179.87506
54,694326.0,12983.53,694.326,8.740883996232931,78797342471.2243
55,707184.0,12979.6,707.184,8.721085380630985,80050541363.916
56,720042.0,12975.61,720.042,8.701286765029039,81295984553.19806
57,732900.0,12971.54,732.9,8.681488149427093,82533533261.85873
58,745758.0,12967.4,745.758,8.661689533825145,83763234932.7771
59,758616.0,12963.19,758.616,8.641890918223199,84985075548.5512
60,771474.0,12958.91,771.474,8.622092302621253,86199041305.61827
61,784332.0,12954.55,784.332,8.602293687019307,87405051143.71277
62,797189.0,12950.12,797.189,8.582496611207032,88603062012.96715
63,810047.0,12945.62,810.047,8.562697995605086,89793251808.36877
64,822905.0,12941.05,822.905,8.54289938000314,90975511803.40622
65,835763.0,12936.41,835.763,8.523100764401192,92149829278.97922
66,848621.0,12931.69,848.621,8.503302148799248,93316119569.0191
67,861479.0,12926.9,861.479,8.4835035331973,94474440697.32448
68,874337.0,12922.04,874.337,8.463704917595354,95624780601.5873
69,887195.0,12917.11,887.195,8.443906301993408,96767127433.33867
70,900053.0,12912.11,900.053,8.424107686391462,97901469557.94908
71,912911.0,12907.03,912.911,8.404309070789516,99027718830.76633
72,925768.0,12901.88,925.768,8.38451199497724,100145849189.55562
73,938626.0,12896.66,938.626,8.364713379375296,101256029772.42291
74,951484.0,12891.37,951.484,8.34491476377335,102358159483.96759
75,964342.0,12886.01,964.342,8.325116148171402,103452227774.0225
76,977200.0,12880.57,977.2,8.305317532569456,104538143146.69702
77,990058.0,12875.07,990.058,8.28551891696751,105616056926.7485
78,1002916.0,12869.49,1002.916,8.265720301365564,106685796024.70483
79,1015774.0,12863.83,1015.774,8.245921685763616,107747348160.66467
80,1028632.0,12858.11,1028.632,8.22612307016167,108800870532.18314
81,1041489.0,12852.31,1041.489,8.206325994349397,109846100661.81277
82,1054347.0,12846.45,1054.347,8.18652737874745,110883369867.20624
83,1067205.0,12840.51,1067.205,8.166728763145503,111912412145.21997
84,1080063.0,12834.5,1080.063,8.146930147543557,112933304368.76326
85,1092921.0,12828.41,1092.921,8.127131531941611,113945949333.47502
86,1105779.0,12822.26,1105.779,8.107332916339663,114950515692.15741
87,1118637.0,12816.03,1118.637,8.087534300737719,115946817029.12596
88,1131495.0,12809.73,1131.495,8.067735685135773,116934934443.06606
89,1144353.0,12803.36,1144.353,8.047937069533825,117914860423.37524
90,1157211.0,12796.91,1157.211,8.028138453931879,118886494770.78912
91,1170068.0,12790.4,1170.068,8.008341378119605,119849936020.85042
92,1182926.0,12783.81,1182.926,7.988542762517658,120805150028.0306
93,1195784.0,12777.15,1195.784,7.968744146915712,121752143121.72606
94,1208642.0,12770.42,1208.642,7.9489455313137665,122690908875.7968
95,1221500.0,12763.61,1221.5,7.9291469157118195,123621344223.41249
96,1221500.0,12166.33,1221.5,7.9291469157118195,117836416880.93181
97,1234332.0,12159.72,1234.332,7.909388334641344,118713049654.88002
98,1247165.0,12153.05,1247.165,7.889628213781196,119581979268.49345
99,1259997.0,12146.32,1259.997,7.869869632710722,120443056425.79073
100,1272830.0,12139.54,1272.83,7.850109511850572,121296522110.97142
101,1285662.0,12132.7,1285.662,7.830350930780098,122142131061.93474
102,1298494.0,12125.8,1298.494,7.810592349709622,122979952149.18616
103,1311327.0,12118.85,1311.327,7.7908322288494745,123810154510.47292
104,1324159.0,12111.84,1324.159,7.771073647778999,124632494258.8564
105,1336991.0,12104.78,1336.991,7.751315066708523,125447142872.42537
106,1349824.0,12097.65,1349.824,7.731554945848376,126253959760.72597
107,1362656.0,12090.47,1362.656,7.711796364777901,127053013356.79138
108,1375489.0,12083.23,1375.489,7.692036243917752,127844334197.91982
109,1388321.0,12075.93,1388.321,7.672277662847278,128627785154.03204
110,1401153.0,12068.57,1401.153,7.652519081776801,129403432372.09628
111,1413986.0,12061.15,1413.986,7.632758960916654,130171340110.51392
112,1426818.0,12053.67,1426.818,7.613000379846178,130931374893.58675
113,1439651.0,12046.14,1439.651,7.593240258986031,131683775944.18059
114,1452483.0,12038.54,1452.483,7.573481677915555,132428194275.37874
115,1465315.0,12030.88,1465.315,7.55372309684508,133164802982.34068
116,1478148.0,12023.16,1478.148,7.533962975984933,133893664653.29852
117,1490980.0,12015.38,1490.98,7.514204394914456,134614651892.60371
118,1503812.0,12007.54,1503.812,7.494445813843981,135327828169.61365
119,1516645.0,11999.64,1516.645,7.474685692983834,136033255073.93976
120,1529477.0,11991.68,1529.477,7.454927111913357,136730808851.0827
121,1542310.0,11983.66,1542.31,7.43516699105321,137420612612.2071
122,1555142.0,11975.57,1555.142,7.415408409982734,138102429707.01782
123,1567974.0,11967.42,1567.974,7.395649828912259,138776435977.17758
124,1580807.0,11959.21,1580.807,7.375889708052112,139442691369.44757
125,1593639.0,11950.94,1593.639,7.356131126981636,140101078200.61496
126,1606472.0,11942.6,1606.472,7.336371006121489,140751597513.1429
127,1619304.0,11934.2,1619.304,7.316612425051013,141394250655.39285
128,1632136.0,11925.73,1632.136,7.2968538439805375,142028978711.803
129,1644969.0,11917.2,1644.969,7.277093723120389,142655957866.7243
130,1657801.0,11908.61,1657.801,7.2573351420499135,143275076506.61798
131,1670634.0,11899.95,1670.634,7.237575021189767,143886328437.66373
132,1683466.0,11891.23,1683.466,7.217816440119291,144489724178.0949
133,1696298.0,11882.44,1696.298,7.198057859048816,145085200189.04926
134,1709131.0,11873.59,1709.131,7.178297738188668,145672934101.69153
135,1721963.0,11864.67,1721.963,7.158539157118192,146252697086.29672
136,1734795.0,11855.68,1734.795,7.138780576047717,146824545008.10742
137,1747628.0,11846.63,1747.628,7.119020455187568,147388656322.4459
138,1760460.0,11837.52,1760.46,7.099261874117093,147944929100.4067
139,1773293.0,11828.33,1773.293,7.079501753256947,148493220345.42053
140,1786125.0,11819.08,1786.125,7.0597431721864705,149033679384.7713
141,1798957.0,11809.76,1798.957,7.039984591115995,149566235593.45343
142,1811790.0,11800.38,1811.79,7.020224470255847,150091068702.53244
143,1824622.0,11790.92,1824.622,7.000465889185372,150607827352.5842
144,1837455.0,11781.4,1837.455,6.980705768325223,151116868838.40247
145,1850287.0,11771.81,1850.287,6.960947187254748,151617970886.5273
146,1863119.0,11762.15,1863.119,6.941188606184272,152111186367.04727
147,1875952.0,11752.42,1875.952,6.9214284853241255,152596566343.94992
148,1888784.0,11742.63,1888.784,6.90166990425365,153074149760.73718
149,1901616.0,11732.76,1901.616,6.881911323183174,153543728406.01843
150,1914449.0,11722.82,1914.449,6.862151202323027,154005482316.2254
151,1927281.0,11712.82,1927.281,6.842392621252551,154459455608.1412
152,1940114.0,11702.74,1940.114,6.822632500392403,154905481037.57233
153,1952946.0,11692.59,1952.946,6.802873919321927,155343604655.67325
154,1965778.0,11682.38,1965.778,6.783115338251451,155774010347.07007
155,1978611.0,11672.09,1978.611,6.763355217391305,156196480663.01422
156,1991443.0,11661.73,1991.443,6.743596636320829,156611066781.9666
157,2004276.0,11651.29,2004.276,6.723836515460682,157017726002.94724
158,2017108.0,11640.79,2017.108,6.704077934390206,157416648135.60895
159,2029940.0,11630.21,2029.94,6.68431935331973,157807612303.66333
160,2042773.0,11619.57,2042.773,6.664559232459583,158190936755.8691
161,2055605.0,11608.85,2055.605,6.644800651389106,158566274044.9555
162,2068437.0,11598.05,2068.437,6.625042070318631,158933671089.54004
163,2081270.0,11587.18,2081.27,6.605281949458485,159293310540.62476
164,2094102.0,11576.24,2094.102,6.585523368388009,159645120416.81628
165,2106935.0,11565.23,2106.935,6.565763247527861,159989186562.78098
166,2119767.0,11554.14,2119.767,6.546004666457385,160325300641.76694
167,2132599.0,11542.98,2132.599,6.5262460853869095,160653647443.00226
168,2145432.0,11531.74,2145.432,6.506485964526762,160974132496.47186
169,2158264.0,11520.43,2158.264,6.4867273834562855,161286828613.54288
170,2171097.0,11509.04,2171.097,6.46696726259614,161591677399.12317
171,2183929.0,11497.58,2183.929,6.447208681525664,161888754903.9692
172,2196761.0,11486.04,2196.761,6.4274501004551885,162177965445.37613
173,2209594.0,11474.42,2209.594,6.40768997959504,162459351625.44086
174,2222426.0,11462.73,2222.426,6.3879313985245645,162732994313.54346
175,2235259.0,11450.97,2235.259,6.368171277664417,162998971731.02023
176,2248091.0,11439.12,2248.091,6.348412696593941,163256940887.06985
177,2260923.0,11427.2,2260.923,6.328654115523467,163507229907.12918
178,2273756.0,11415.2,2273.756,6.308893994663319,163749737801.23917
179,2286588.0,11403.13,2286.588,6.2891354135928434,163984553335.60434
180,2299420.0,11390.97,2299.42,6.269376832522368,164211431576.9194
181,2312253.0,11378.74,2312.253,6.249616711662219,164430701114.96286
182,2325085.0,11366.43,2325.085,6.229858130591744,164642166722.71683
183,2337918.0,11354.04,2337.918,6.210098009731596,164845899625.0945
184,2350750.0,11341.57,2350.75,6.190339428661121,165041850817.67767
185,2363582.0,11329.03,2363.582,6.170580847590646,165230207257.30396
186,2376415.0,11316.4,2376.415,6.150820726730498,165410717004.89175
187,2389247.0,11303.69,2389.247,6.131062145660023,165583480187.73245
188,2402080.0,11290.91,2402.08,6.111302024799874,165748711242.78082
189,2414912.0,11278.04,2414.912,6.0915434437294,165906073888.5702
190,2427744.0,11265.09,2427.744,6.071784862658923,166055754538.70245
191,2440577.0,11252.06,2440.577,6.052024741798776,166197791458.70142
192,2453409.0,11238.95,2453.409,6.0322661607283,166332145244.8856
193,2466241.0,11225.76,2466.241,6.012507579657825,166458855124.64487
194,2479074.0,11212.49,2479.074,5.992747458797678,166577958673.64636
195,2491906.0,11199.14,2491.906,5.972988877727202,166689420061.1596
196,2504739.0,11185.7,2504.739,5.953228756867054,166793152159.68155
197,2517571.0,11172.18,2517.571,5.933470175796578,166889270091.65344
198,2530403.0,11158.58,2530.403,5.913711594726103,166977811949.93982
199,2543236.0,11144.9,2543.236,5.893951473865956,167058814193.25687
200,2556068.0,11131.13,2556.068,5.874192892795479,167132096777.62613
201,2568901.0,11117.28,2568.901,5.854432771935332,167197867882.79266
202,2581733.0,11103.34,2581.733,5.834674190864857,167255949347.94086
203,2594565.0,11089.32,2594.565,5.814915609794381,167306528317.07608
204,2607398.0,11075.22,2607.398,5.795155488934233,167349640170.1657
205,2620230.0,11061.03,2620.23,5.775396907863757,167385109587.491
206,2633063.0,11046.76,2633.063,5.755636787003611,167413142579.7243
207,2645895.0,11032.4,2645.895,5.735878205933135,167433565742.05026
208,2658727.0,11017.96,2658.727,5.71611962486266,167446566324.78455
209,2671560.0,11003.43,2671.56,5.696359504002511,167452026471.69647
210,2684392.0,10988.81,2684.392,5.676600922932036,167449927446.4734
211,2697224.0,10974.11,2697.224,5.6568423418615605,167440456526.1936
212,2710057.0,10959.32,2710.057,5.637082221001413,167423494659.6905
213,2722889.0,10944.45,2722.889,5.6173236399309365,167399179611.70184
214,2735722.0,10929.48,2735.722,5.59756351907079,167367254927.74075
215,2748554.0,10914.43,2748.554,5.577804938000314,167328013861.0111
216,2761386.0,10899.3,2761.386,5.5580463569298395,167281490693.4318
217,2774219.0,10884.07,2774.219,5.53828623606969,167227410855.48547
218,2787051.0,10868.76,2787.051,5.5185276549992155,167166072152.46024
219,2799884.0,10853.36,2799.884,5.498767534139068,167097367200.08798
220,2812716.0,10837.87,2812.716,5.479008953068592,167021289018.60986
221,2825548.0,10822.29,2825.548,5.459250371998117,166937870462.8577
